rank,Ticker,start_date,end_date,start_price,end_price,six_month_momentum,six_month_momentum_percent,trading_days
86,VRSK,2025-12-01,2026-05-29,222.9813690185547,174.99000549316406,-0.2152258896634417,-21.52258896634417,124
87,DASH,2025-12-01,2026-05-29,205.5800018310547,159.2899932861328,-0.2251678574405449,-22.51678574405449,124
88,IDXX,2025-12-01,2026-05-29,728.969970703125,563.530029296875,-0.2269502833521051,-22.69502833521051,124
89,ADSK,2025-12-01,2026-05-29,305.1199951171875,231.30999755859375,-0.2419048202011328,-24.19048202011328,124
90,ISRG,2025-12-01,2026-05-29,567.3699951171875,424.6400146484375,-0.2515642027197258,-25.15642027197258,124
91,ROP,2025-12-01,2026-05-29,441.54754638671875,325.5299987792969,-0.262752105762605,-26.2752105762605,124
92,CHTR,2025-12-01,2026-05-29,196.94000244140625,144.0500030517578,-0.2685589455366454,-26.855894553664537,124
93,CTSH,2025-12-01,2026-05-29,76.49856567382812,55.7599983215332,-0.27109746659459333,-27.109746659459333,124
94,PYPL,2025-12-01,2026-05-29,62.3911018371582,44.75,-0.282750285180117,-28.275028518011702,124
95,PDD,2025-12-01,2026-05-29,118.2699966430664,84.44000244140625,-0.2860403750898681,-28.604037508986814,124
96,WDAY,2025-12-01,2026-05-29,213.35000610351562,146.19000244140625,-0.3147879153540961,-31.478791535409613,124
97,TRI,2025-12-01,2026-05-29,129.21868896484375,86.51000213623047,-0.33051478211664054,-33.051478211664055,124
98,ALNY,2025-12-01,2026-05-29,454.55999755859375,301.9800109863281,-0.33566523097448264,-33.56652309744826,124
99,ZS,2025-12-01,2026-05-29,243.27999877929688,139.72999572753906,-0.4256412511153379,-42.56412511153379,124
100,INTU,2025-12-01,2026-05-29,628.5165405273438,331.5299987792969,-0.47251985047023026,-47.25198504702303,124
101,INSM,2025-12-01,2026-05-29,211.41000366210938,106.91000366210938,-0.4943001664529527,-49.43001664529527,124
